Profession|Salary|Company Name|Location|Start Date|Telephone|Email|Job Description|Ref.-Nr.|External Link|Application Link
Kaufmann/-frau - Büromanagement||"Arbeitgeber:
Schindler Haus- und Dachpflege GmbH & Co. KG"|99706 Sondershausen, Thüringen||['+49 3632 703701', '+49 162 2688588']|[]|"Wir sind ein etabliertes Dachdeckerunternehmen mit langjähriger Erfahrung, Qualität und Verlässlichkeit. Zur Verstärkung unseres Teams suchen wir motivierte Auszubildende am Standort Sondershausen
Was wir dir bieten
Ausbildungsbeginn: ab sofort
Abwechslungsreiche Tätigkeiten im Büro-Alltag (Auftragsbearbeitung, Angebotsbearbeitung, Rechnungsvorbereitung, Schriftverkehr)
Ein motiviertes Team, persönliche Einarbeitung
Moderne Arbeitsmittel
Vergütung gemäß Ausbildungsordnung
Deine Aufgaben
Unterstützen des Büroteams bei der Auftragsabwicklung
Pflege von Kundendaten, Angeboten, Rechnungen und Lieferscheinen
Telefon-und E-Mail-Korrespondenz
Terminplanung, Koordination von Baustellen
Allgemeine Büro-Organisation, Postverkehr und Dokumentation
Dein Profil
Mindestens einen mittleren Bildungsabschluss (oder ein vergleichbarer Abschluss)
Gute Deutschkenntnisse in Wort und Schrift
Zuverlässigkeit, Lernbereitschaft und Teamfähigkeit
Freundliches Auftreten und Kommunikationsstärke
Englischkenntnisse von Vorteil, aber kein Muss
Ausbildungsdauer
3 Jahre (Verkürzung bei passenden Vorqualifikationen möglich)
Wir freuen uns über deine Bewerbung. Bitte sende deine vollständigen Bewerbungsunterlagen (Anschreiben, Lebenslauf, Schulzeugnisse) unter Angabe des frühestmöglichen Eintrittstermins an: empfang@schindler-dach.de"|10000-1203528049-S||
Zahnmedizinische/r Fachangestellte/r||"Arbeitgeber:
Zahnärzte Melanie und Otto Loibl GbR"|Fröbelstr. 4, 94315 Straubing||[]|[]|"Wir bieten ab 01.09.2026 einen Ausbildungsplatz zum Zahnmedizinischen Fachangestellten (m/w/d).
Wechsler/-innen oder Quereinsteiger/-innen können sofort in die Ausbildung einsteigen.
Zahnmedizinische Fachangestellte unterstützen Zahnärzte und -ärztinnen bei allen Tätigkeiten in einer Praxis. Sie empfangen und betreuen die Patienten, organisieren die Praxisabläufe und assistieren bei Untersuchungen und Behandlungen.
Zahnmedizinischer Fachangestellter bzw. Zahnmedizinische Fachangestellte ist ein anerkannter Ausbildungsberuf nach dem Berufsbildungsgesetz (BBiG) mit bundesweit geregelter 3-jähriger Ausbildung.
Interessiert?
Dann freuen wir uns auf deine Bewerbung!"|10000-1203528158-S|http://www.zahnarztpraxis-loibl.de/|
Maschinen- und Anlagenführer/in (o. Angabe des Schwerpunkts)||"Arbeitgeber:
Böckmann Maschinenbau GmbH"|Feldkamp 12, 49451 Holdorf, Niedersachsen|Beginn ab 01.08.2026|[]|['info@boeckmann-maschinenbau.de', 'info@boeckmann-maschinenbau.de', 'info@boeckmann-maschinenbau.de', 'info@boeckmann-maschinenbau.de']|"Im Jahr 1976 wurde die Firma unter dem Namen Reinhold Böckmann Maschinen- und Metallbau GmbH gegründet und es wurden Behälter zum Transport von Fahrzeugbauteilen – für die Automobilindustrie – hergestellt. Im Laufe der Jahre wurde das Portfolio um viele weitere Produkte ergänzt. Heute ist die Böckmann Maschinenbau GmbH ein mittelständisches Unternehmen aus dem Bereich der metallverarbeitenden Industrie und beschäftigt ca. 100 Mitarbeiter.
Mit modernen Maschinen und hochwertigen Materialien, entstehen verschiedenste Produkte im Bereich Stahl- und Maschinenbau. Neben den klassischen Aufgaben in diesen Bereichen, planen und konstruieren hochmotivierte Mitarbeiter, individuelle Einzel- und Serienstücke – z. B. im Bereich Transportgestelle und in der Schienenfahrzeugtechnik.
Für das Ausbildungsjahr 2026 suchen wir Auszubildende / Umschüler (m/w/d) zum/zur Maschinen- und Anlagenführer/in.
Du hast Spaß an Technik, handwerkliches Geschick, Freude am Umgang mit technischen Zeichnungen und Maschinen, bist teamfähig und zuverlässig?
Dann komm in unser Team und freue dich auf ein abwechslungsreiches Arbeitsfeld und verantwortungsvolle Aufgaben.
Wir freuen uns auf Deine Bewerbung!"|10000-1203528609-S|http://www.boeckmann-maschinenbau.de/|
Metallbauer/in - Konstruktionstechnik||"Arbeitgeber:
Böckmann Maschinenbau GmbH"|Feldkamp 12, 49451 Holdorf, Niedersachsen|Beginn ab 01.08.2026|[]|['info@boeckmann-maschinenbau.de', 'info@boeckmann-maschinenbau.de', 'info@boeckmann-maschinenbau.de', 'info@boeckmann-maschinenbau.de']|"Im Jahr 1976 wurde die Firma unter dem Namen Reinhold Böckmann Maschinen- und Metallbau GmbH gegründet und es wurden Behälter zum Transport von Fahrzeugbauteilen – für die Automobilindustrie – hergestellt. Im Laufe der Jahre wurde das Portfolio um viele weitere Produkte ergänzt. Heute ist die Böckmann Maschinenbau GmbH ein mittelständisches Unternehmen aus dem Bereich der metallverarbeitenden Industrie und beschäftigt ca. 100 Mitarbeiter.
Mit modernen Maschinen und hochwertigen Materialien, entstehen verschiedenste Produkte im Bereich Stahl- und Maschinenbau. Neben den klassischen Aufgaben in diesen Bereichen, planen und konstruieren hochmotivierte Mitarbeiter, individuelle Einzel- und Serienstücke – z. B. im Bereich Transportgestelle und in der Schienenfahrzeugtechnik.
Für das Ausbildungsjahr 2026 suchen wir Auszubildende / Umschüler (m/w/d) zum/zur Metallbauer/in - Konstruktionstechnik.
Du hast Spaß an Technik, handwerkliches Geschick, Freude am Umgang mit technischen Zeichnungen und Maschinen, bist teamfähig und zuverlässig?
Dann komm in unser Team und freue dich auf ein abwechslungsreiches Arbeitsfeld und verantwortungsvolle Aufgaben.
Wir freuen uns auf Deine Bewerbung!"|10000-1203528570-S|http://www.boeckmann-maschinenbau.de/|
Feinwerkmechaniker/in||"Arbeitgeber:
Böckmann Maschinenbau GmbH"|Feldkamp 12, 49451 Holdorf, Niedersachsen|Beginn ab 01.08.2026|[]|['info@boeckmann-maschinenbau.de', 'info@boeckmann-maschinenbau.de', 'info@boeckmann-maschinenbau.de', 'info@boeckmann-maschinenbau.de']|"Im Jahr 1976 wurde die Firma unter dem Namen Reinhold Böckmann Maschinen- und Metallbau GmbH gegründet und es wurden Behälter zum Transport von Fahrzeugbauteilen – für die Automobilindustrie – hergestellt. Im Laufe der Jahre wurde das Portfolio um viele weitere Produkte ergänzt. Heute ist die Böckmann Maschinenbau GmbH ein mittelständisches Unternehmen aus dem Bereich der metallverarbeitenden Industrie und beschäftigt ca. 100 Mitarbeiter.
Mit modernen Maschinen und hochwertigen Materialien, entstehen verschiedenste Produkte im Bereich Stahl- und Maschinenbau. Neben den klassischen Aufgaben in diesen Bereichen, planen und konstruieren hochmotivierte Mitarbeiter, individuelle Einzel- und Serienstücke – z. B. im Bereich Transportgestelle und in der Schienenfahrzeugtechnik.
Für das Ausbildungsjahr 2026 suchen wir Auszubildende / Umschüler (m/w/d) zum/zur
Feinwerkmechaniker/in (m/w/d).
Du hast Spaß an Technik, handwerkliches Geschick, Freude am Umgang mit technischen Zeichnungen und Maschinen, bist teamfähig und zuverlässig?
Dann komm in unser Team und freue dich auf ein abwechslungsreiches Arbeitsfeld und verantwortungsvolle Aufgaben.
Wir freuen uns auf Deine Bewerbung!"|10000-1203528464-S|http://www.boeckmann-maschinenbau.de/|
Mechatroniker/in - Kältetechnik||"Arbeitgeber:
Landig + Lava GmbH & Co KG"|Mackstr. 90, 88348 Bad Saulgau|Beginn ab 01.09.2026|[]|['info@landig.com', 'info@landig.com', 'info@landig.com', 'info@landig.com']|"AUSBILDUNG MECHATRONIKER FÜR KÄLTETECHNIK (M/W/D)
Ihre Aufgaben: VIELSEITIG, ABWECHSLUNGSREICH UND SPANNEND
Materialauswahl
Installation und Programmierung der Mess,- Steuer- und Regelungstechnik an anspruchsvollen kälte- und klimatechnischen Anlagen
Anbindung von Anlagen, Systemen und Komponenten der Kälte- und Klimatechnik in das Gesamtkonzept einer Immobilie
Ökonomische als auch ökologische Optimierung
Wartungen der versorgungstechnischen Anlagen oder einzelner Anlagenteile
Überprüfung du Funktionalität und ggf. Übernahme einer Reparatur, Umbau oder komplette Demontage
Ihr Profil: TECHNISCH & HANDWERKLICH BEGABT, TEAMPLAYER UND AUF ZACK
Real­schul­ab­schluss oder ein sehr guter Haupt­schul­ab­schluss
Fun­dierte Kennt­nisse in Mathe­ma­tik, Phy­sik oder Tech­nik
Gutes tech­ni­sches Ver­ständ­nis und hand­werk­li­ches Geschick
Logi­sches Denk­ver­mö­gen, Ver­ant­wor­tungs­be­wusst­sein, Sorg­falt und Zuver­läs­sig­keit
Spaß an der Arbeit im Team
Geleis­tete Prak­tika in die­sem oder einem ähn­li­chen Aus­bil­dungs­be­ruf sind von Vor­teil
Fakten: WAS GENAU ERWARTET DICH
Die Aus­bil­dung dau­ert 3 ½ Jahre
Selbst­stän­di­ges Arbei­ten ist in die­sem abwechs­lungs­rei­chen Berufs­feld die Regel
Du bist sowohl auf gro­ßen Bau­stel­len, Fabrikgebäuden, Kühlhäusern, Produktionshallen als auch direkt bei unse­ren Kun­den zu Hause oder bei uns in der Geräteproduktion tätig
Abge­schlos­sen wird die Aus­bil­dung durch die Prü­fung vor der Hand­werks­kam­mer und der Innung
Nach Mög­lich­keit über­neh­men wir unsere moti­vier­ten Aus­zu­bil­den­den nach erfolg­rei­chem Abschluss in ein Arbeits­ver­hält­nis
Wer wir sind: INNOVATIV, DYNAMISCH UND LUST AUF MEHR – Landig + Lava GmbH & Co. KG
Erfahrenes und gut eingespieltes Team
Unternehmen auf Expansionskurs
Neues Firmengebäude
Familiäre Stimmung, Anpackermentalität
Spannende Marken und Produkte: DRY AGER, Landig, LAVA
Stark am Markt: Teils Markt/- bzw. Technologieführer
Unternehmen legt extrem viel Wert auf Qualität und Hochwertigkeit
Made in Germany. Regionalität spielt eine Rolle. Nachhaltigkeit!
Interessiert? Neugierig? Voller Tatendrang? Dann gleich bewerben!
WIR FREUEN UNS AUF DICH!
Jetzt online bewerben"|10000-1203528510-S||https://www.landig.com/jobs/job-detail/1309051/ausbildung-mechatroniker-fuer-kaeltetechnik-m-w-d/
Kaufmann/-frau - Einzelhandel||"Arbeitgeber:
Netto Marken-Discount Stiftung & Co. KG"|Schafstallweg 3, 29336 Nienhagen bei Celle|Beginn ab 01.08.2026|[]|[]|"Führe eine unserer Filialen zum Erfolg
Du möchtest mehr erreichen und Verantwortung übernehmen – auch ohne Studium? Dann ist unsere Fachausbildung zum Marktleiter (m/w/d) genau das Richtige für dich. In 2 bis 2,5 Jahren erwirbst du den IHK-Abschluss Kaufmann im Einzelhandel. Anschließend bereiten wir dich mit einer internen Weiterbildung auf deinen Job als Marktleiter (m/w/d) in einer unserer Filialen vor.Am Ende deiner Ausbildung kannst du einen Netto Markt eigenständig führen. Das Gehalt eines stellvertretenden Marktleiters erhältst du bereits während der internen Weiterbildung!
Das sind deine Aufgaben
Du berätst Kunden bei ihrem Einkauf
Du bestellst Waren, nimmst sie an und zeichnest sie aus
Du sorgst dafür, dass immer genug Waren im Markt sind
Du organisierst den Einsatz des Personals in deinem Markt
Du übernimmst Tages- und Urlaubsvertretungen
Das bringst du mit
Die Arbeit mit Lebensmitteln macht dir Spaß
Du hast gerne Kontakt zu Menschen
Du kannst dir gut vorstellen, ein Team zu leiten
Du möchtest gerne schon früh Verantwortung übernehmen
Du kannst gut organisieren
Unser Angebot für dich
Du übernimmst von Anfang an spannende und verantwortungsvolle Aufgaben
Du erhältst Einblicke in verschiedene Bereiche bei Netto
Du erhältst bei besonders guten Leistungen eine Übernahmegarantie
Während deiner internen Weiterbildung erhältst du bereits das Gehalt eines stellvertretenden Marktleiters
Information und Bewerbung
Ausbildungsdauer: 2,5 - 3 Jahre
Beginn: August/September
Bewerbungen ab: Einem Jahr vor Ausbildungsbeginn
Schulabschluss: gute mittlere Reife oder Fachhochschulreife, Allgemeine Hochschulreife"|18279-16-2359-A2026-S||https://www.netto-online.de/karriere/job/p16/fachausbildung-zum-marktleiter-m-w-d/nienhagen/schafstallweg-3/2359?utm_source=arbeitsagentur.de&utm_medium=referral&utm_campaign=Karriere-Ausbildung&utm_term=P16-L2359
Gerüstbauer/in||"Arbeitgeber:
Dirk Müschen Gerüstbau GmbH & Co KG"|Bunte Riede 14, 30900 Wedemark|Beginn ab 01.08.2026|['+49 5130 39431', '+49 5130 582536']|[]|"Du suchst einen Ausbildungsplatz für 2026?
Wir sind ein aktives Gerüstbauteam im Generationswechsel (Übergabe vom Vater zum Sohn),und möchten uns gerne vergrößern.
Daher suchen wir einen Auszubildenden (m/w/d) im Gerüstbauhandwerk.
Du bekommst den Ersatz für das Fitnessstudio und frische Luft inklusive.
Bei fast täglichen wechselnden Baustellen kannst Du Dir nahezu täglich ein neues Bild deiner Heimat von oben machen.
Du hast keine Ahnung von dem was wir tun!
Kein Problem wir erklären es Dir gerne. (Wir bieten auch Praktikumsplätze an)
Was solltest Du mitbringen!
Zuverlässigkeit
Teamfähigkeit
Schwindelfrei
gewissenhafte Arbeitsweise
handwerkliches Geschick.
Diese Vorteile bieten wir:
Unsere Betriebsstätte ist in Lindwedel, in Bahnhofsnähe.
Du arbeitest in familiärer Atmosphäre.
Du erhältst Urlaubs – und Weihnachtsgeld.
Die Arbeitskleidung wird gestellt.
Kostenlose Getränke stehen Dir zu Verfügung.
Übernahme nach der Ausbildung garantiert.
Bei Interesse freuen wir uns auf deine Bewerbungsunterlagen per Mail."|10000-1203525778-S|http://mueschen.com/|
Kaufmann/-frau - Büromanagement||"Arbeitgeber:
Landig + Lava GmbH & Co KG"|Mackstr. 90, 88348 Bad Saulgau|Beginn ab 01.09.2026|['+49 7581 48959203']|['info@landig.com', 'info@landig.com', 'info@landig.com', 'info@landig.com']|"AUSBILDUNG KAUFMANN FÜR BÜROKOMMUNIKATION (M/W/D)
Ihre Aufgaben: VIELSEITIG, ABWECHSLUNGSREICH UND SPANNEND
Einkauf / Verkauf & Marketing – Intensive Einführung in dieses spannende Aufgabenfeld. Erwerb von umfangreichen Kenntnissen im weltweiten Vertrieb hochwertiger Produkte. Einblicke in die deutschlandweiten und internationalen Marketingaktivitäten.
Umfassende Einblicke – Kennenlernen der Aufgabenbereiche eines Bürokaufmanns, darüber hinaus Prozess- und Projektmanagement sowie Finanzen
Arbeitsumfeld – Mitarbeit in Projekten und Unterstützung der freundlichen Kollegen im Tagesgeschäft
Berufsschule – Regelmäßiger Berufsschulunterricht zur Vermittlung der theoretischen Inhalte der Ausbildung
Ihr Profil: KOMMUNIKATIV, KONTAKTFREUDIG UND SELBSTBEWUSST
Erfolgreich abgeschlossene Mittlere Reife, Fachhochschulreife oder Abitur
Motiviert Neues zu lernen, Freude an der Arbeit im Team und dem offenen Umgang mit Menschen
Sorgfältige, zuverlässige und strukturierte Arbeitsweise und eine Affinität für Kochen und BBQ
Sehr gute Auffassungsgabe und die Fähigkeit, komplexe Zusammenhänge schnell zu erfassen
Interesse an Vertrieb und Marketing
Sehr gute EDV Kenntnisse sowie Erfahrung mit MS-Office, vor allem Word und Excel
Wer wir sind: INNOVATIV, DYNAMISCH UND LUST AUF MEHR – Landig + Lava GmbH & Co. KG
Erfahrenes und gut eingespieltes Team
Unternehmen auf Expansionskurs
Neues Firmengebäude
Familiäre Stimmung, Anpackermentalität
Spannende Marken und Produkte: DRY AGER, Landig, LAVA
Stark am Markt: Teils Markt/- bzw. Technologieführer
Unternehmen legt extrem viel Wert auf Qualität und Hochwertigkeit
Made in Germany. Regionalität spielt eine Rolle. Nachhaltigkeit!
nteressiert? Neugierig? Voller Tatendrang? Dann gleich bewerben!
WIR FREUEN UNS AUF DICH!
Jetzt online bewerben"|10000-1203527945-S||https://www.landig.com/jobs/job-detail/1249874/ausbildung-kaufmann-fuer-buerokommunikation-m-w-d/
Kaufmann/-frau - Einzelhandel||"Arbeitgeber:
Netto Marken-Discount Stiftung & Co. KG"|Quintusstr. 58, 29664 Walsrode|Beginn ab 01.08.2026|[]|[]|"Führe eine unserer Filialen zum Erfolg
Du möchtest mehr erreichen und Verantwortung übernehmen – auch ohne Studium? Dann ist unsere Fachausbildung zum Marktleiter (m/w/d) genau das Richtige für dich. In 2 bis 2,5 Jahren erwirbst du den IHK-Abschluss Kaufmann im Einzelhandel. Anschließend bereiten wir dich mit einer internen Weiterbildung auf deinen Job als Marktleiter (m/w/d) in einer unserer Filialen vor.Am Ende deiner Ausbildung kannst du einen Netto Markt eigenständig führen. Das Gehalt eines stellvertretenden Marktleiters erhältst du bereits während der internen Weiterbildung!
Das sind deine Aufgaben
Du berätst Kunden bei ihrem Einkauf
Du bestellst Waren, nimmst sie an und zeichnest sie aus
Du sorgst dafür, dass immer genug Waren im Markt sind
Du organisierst den Einsatz des Personals in deinem Markt
Du übernimmst Tages- und Urlaubsvertretungen
Das bringst du mit
Die Arbeit mit Lebensmitteln macht dir Spaß
Du hast gerne Kontakt zu Menschen
Du kannst dir gut vorstellen, ein Team zu leiten
Du möchtest gerne schon früh Verantwortung übernehmen
Du kannst gut organisieren
Unser Angebot für dich
Du übernimmst von Anfang an spannende und verantwortungsvolle Aufgaben
Du erhältst Einblicke in verschiedene Bereiche bei Netto
Du erhältst bei besonders guten Leistungen eine Übernahmegarantie
Während deiner internen Weiterbildung erhältst du bereits das Gehalt eines stellvertretenden Marktleiters
Information und Bewerbung
Ausbildungsdauer: 2,5 - 3 Jahre
Beginn: August/September
Bewerbungen ab: Einem Jahr vor Ausbildungsbeginn
Schulabschluss: gute mittlere Reife oder Fachhochschulreife, Allgemeine Hochschulreife"|18279-16-2409-A2026-S||https://www.netto-online.de/karriere/job/p16/fachausbildung-zum-marktleiter-m-w-d/walsrode/quintusstr-58/2409?utm_source=arbeitsagentur.de&utm_medium=referral&utm_campaign=Karriere-Ausbildung&utm_term=P16-L2409
Industriemechaniker/in||"Arbeitgeber:
Roto Frank Fenster- und Türtechnologie GmbH"|Wilhelm-Frank-Platz 1, 70771 Leinfelden-Echterdingen|Beginn ab 01.09.2026|['+49 174 4004917']|[]|"Als technologischer Schrittmacher bietet die Roto Frank Fenster- und Türtechnologie GmbH weltweit intelligente Systemlösungen für Fenster und Türen aller Öffnungsarten und Rahmenmaterialien. Mit global rund 4.000 Mitarbeitern, 18 Produktionswerken, 31 Logistik-Verteilzentren und über 30 Vertriebsgesellschaften ist das Unternehmen unter anderem weltweiter Marktführer bei Drehkipp-Beschlägen. Unter dem Dach der Roto Frank Holding AG gehört es zur international tätigen Roto Gruppe.
Wir bieten Dir eine qualitative Ausbildung am Standort in Leinfelden-Echterdingen
Ausbildung zum Industriemechaniker m/w/d - Start im Sep. 2026
Das erwartet Dich:
Ausbildung in den betrieblichen Prozessen sowie in unserer firmeninternen Ausbildungswerkstatt
Eine individuelle Einarbeitung (Erlebnispädagogik, Betreuung durch Paten, Einführungsschulungen)
Erlernen von Herstellungstechniken: Drehen, Fräsen, Bohren, Schleifen
Unterricht in den Bereichen Umweltschutz und Energiesparen
Teilnahme an innerbetriebliche Lehrgänge (Pneumatik, NC-Technik)
Gezielte Förderung – fachlich und persönlich
Freiräume und die Möglichkeit sich einzubringen und selbst zu gestalten
Ein vertrauensvoller Umgang im Ausbildungsteam
Intensive Prüfungsvorbereitung
Ausbildungsdauer: 3,5 Jahre
Das bringst Du mit:
Interesse an Technik
Guter Haupt- oder Realschulabschluss
Handwerkliches Geschick
Räumliches Vorstellungsvermögen
Logisches Denkvermögen
Teamfähigkeit
Das bieten wir Dir:
Tarifliche Vergütung, Urlaubs- & Weihnachtsgeld, Zeugnisprämien
Flexible Arbeitszeit
Strukturierter Ausbildungs-/Durchlaufplan mit qualifizierter Betreuung
Sportangebote
Vergünstigungen, Fahrtgeldzuschuss, Büchergeld
Bike-leasing, firmennaher ÖNPV, kostenlose Parkplätze
Event & Teambuildingmaßnahmen
Internationale Einsätze & Auslandsaufenthalte
Wir haben Dein Interesse geweckt?
Bewirb Dich über unser Karriereportal mit Deinen Bewerbungsunterlagen bestehend aus Anschreiben, Lebenslauf und relevanten Anlagen (Zeugnisse, Zertifikate).
Mehr Infos zur Ausbildung bei Roto findest Du unter:
https://ftt.roto-frank.com/de-de/karriere/azubis-und-studierende/
Ansprechpartnerin:
Frau Beatrix Kraft
Ausbildungsleitung
Roto Frank Fenster- und Türtechnologie GmbH
Human Resources Wilhelm-Frank-Platz 1
70771 Leinfelden-Echterdingen
http://www.roto-frank.com"|10000-1203470244-S|http://www.roto.de/|https://www.jobs.roto-frank.com/Ausbildung-zum-Industriemechaniker-mwd-Start-im-Sep-2026-de-j4868.html
Dachdecker/in|1.000 € – 1.400 €/Monat|"Arbeitgeber:
Schindler Haus- und Dachpflege GmbH & Co. KG"|Brückental 9, 99706 Sondershausen, Thüringen||['+49 3632 703700']|[]|"Wir sind ein etabliertes Dachdeckerunternehmen mit langjähriger Erfahrung, Qualität und Verlässlichkeit. Zur Verstärkung unseres Teams suchen wir motivierte Auszubildende.
Was wir dir bieten
Ausbildungsbeginn: ab sofort
Abwechslungsreiche Tätigkeiten auf Dächern und bei Montagen (Neubau, Sanierung, Dachsanierung)
Ein motiviertes Team, intensive Einarbeitung
Moderne Arbeitsmittel, sichere Arbeitsplätze und umfassende Sicherheitseinweisung
Vergütung gemäß Ausbildungsverordnung
Langfristige Perspektiven in einem wachsenden Unternehmen
Deine Aufgaben
Unterstützung bei Montage und Verlegung von Dachabdichtungen (z.B. Bitumen-, Kunststoff- oder PVC-/FPO-Systeme)
Dein Profil
Hauptschulabschluss (oder ein vergleichbarer Abschluss)
Handwerkliches Interesse
Technisches Verständnis, Geschick und räumliches Vorstellungsvermögen
Körperliche Belastbarkeit, Teamfähigkeit und Zuverlässigkeit
Bereitschaft zu Montagetätigkeit
Ausbildungsdauer
3 Jahre (Verkürzung bei passenden Vorqualifikationen möglich)
Wir freuen uns über deine Bewerbung!
Bitte sende deine vollständigen Bewerbungsunterlagen (Anschreiben, Lebenslauf, Schulzeugnisse) unter Angabe des frühestmöglichen Eintrittstermins an: empfang@schindler-dach.de"|10000-1203528367-S||
Sport- und Fitnesskaufmann/-frau||"Arbeitgeber:
Lifestyle 3000 GmbH"|Im Speckenfeld 2, 27639 Wurster Nordseeküste||['+49 4742 253728']|[]|"Fitnessstudio, Wellnessbereich, Rehasport, Abnehmen und Kindertanzen ist unser Angebot am Standort in Dorum.
Wir suchenzum 01.08.2025 eine/n Auszubildende/n zum/zur Sport- und Fitnesskaufmann/-frau (m/w/d).
Wenn Du sportlich bist und Spaß im genannten Bereich hast freuen wir uns auf Deine Bewerbung!
Die Arbeitsstunden fallen in die Zeiten von Mo-Fr 8.30-21.30 u Sa-So 10.00-14.00 je nach Bedarf.
Aus diesem Grund wäre ein Mindestalter von 18 J. von Vorteil."|10000-1203528529-S||
